Iteration,Loss
10,3.3121370315551757
20,2.9046381950378417
30,2.5347410678863525
40,2.6310546875
50,2.507076597213745
60,2.385464096069336
70,2.3488763570785522
80,2.323762130737305
90,2.2919455885887148
100,2.2621365070343016
110,2.4087909698486327
120,2.30932354927063
130,2.3948981523513795
140,2.329534578323364
150,2.1111729621887205
160,2.3649025678634645
170,2.296578812599182
180,2.348480832576752
190,2.3694740295410157
200,2.304012954235077
210,2.3379398822784423
220,2.1517562747001646
230,2.202022445201874
240,2.1982293844223024
250,2.2272502183914185
260,2.240423858165741
270,2.30035480260849
280,2.120400607585907
290,2.3235438108444213
300,2.243399202823639
310,2.1676358819007873
320,2.1079822897911074
330,2.072502946853638
340,2.2254499912261965
350,1.9757627606391908
360,2.2683049201965333
370,2.1697418212890627
380,2.1922932863235474
390,2.1449570417404176
400,2.1649624347686767
410,2.162922728061676
420,2.2553449511528014
430,2.2384236693382262
440,2.1748435735702514
450,2.147163951396942
460,2.3012725591659544
470,2.1565502166748045
480,2.109720432758331
490,2.2211700916290282
500,2.1569338917732237
510,2.187529683113098
520,2.1811476230621336
530,2.1305669069290163
540,2.1787377119064333
550,2.353187119960785
560,2.273782515525818
570,2.2475700616836547
580,2.102673089504242
590,2.2294242858886717
600,2.2336448788642884
610,2.2599002718925476
620,2.1456899642944336
630,2.168449568748474
640,2.301255977153778
650,2.2394463300704954
660,2.243852472305298
670,2.1405722975730894
680,2.1510728716850283
690,2.401601421833038
700,2.1218183040618896
710,2.0756215691566466
720,2.259442901611328
730,2.0291171789169313
740,2.182320308685303
750,2.3084012150764464
760,2.345451545715332
770,2.1811952710151674
780,2.077105164527893
790,2.275386917591095
800,2.0942993640899656
810,2.2284911632537843
820,2.120731008052826
830,2.247356617450714
840,2.14211528301239
850,1.9809881925582886
860,2.186869180202484
870,2.0394062757492066
880,2.1055373311042787
890,2.235438084602356
900,2.1554893255233765
910,2.1931185007095335
920,2.1023709893226625
930,2.2669267654418945
940,2.2463135600090025
950,2.1541584730148315
960,2.2077250361442564
970,2.2561571478843687
980,2.218485713005066
990,2.1170681357383727
1000,2.2409950256347657
